candidate_id,rank,score,reasoning
CAND_0007009,23,0.7791,"Recommendation Systems Engineer with 7.9 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Weaviate, Python, Embeddings, Learning to Rank, PEFT. Recent activity/response signals support recruiter reachability."
CAND_0014440,24,0.7717,"Recommendation Systems Engineer with 6.4 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Elasticsearch, Milvus, Machine Learning, FAISS, Qdrant. Recent activity/response signals support recruiter reachability."
CAND_0062247,25,0.7689,"AI Engineer with 7.3 yrs in ranking/recommendation systems, retrieval/vector search; skills include Pinecone, Vector Search, Qdrant, RAG, PEFT. Recent activity/response signals support recruiter reachability."
CAND_0041610,26,0.7661,"Recommendation Systems Engineer with 6.7 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include LoRA, Elasticsearch, OpenSearch, BM25, Learning to Rank. Recent activity/response signals support recruiter reachability."
CAND_0071974,27,0.7659,"Senior AI Engineer with 7.8 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include LoRA, Learning to Rank, Weaviate, PEFT, BM25. Recent activity/response signals support recruiter reachability."
CAND_0046064,28,0.7570,"Senior NLP Engineer with 8.9 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Python, Pinecone, Haystack, BM25, OpenSearch. Recent activity/response signals support recruiter reachability."
CAND_0028793,29,0.7553,"Search Engineer with 7.2 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Kubeflow, Embeddings, Haystack, LoRA, Learning to Rank. Recent activity/response signals support recruiter reachability; concern: notice 120 days."
CAND_0005649,30,0.7529,"Senior Data Scientist with 7.4 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Haystack, TensorFlow, Fine-tuning LLMs, Recommendation Systems, QLoRA. Recent activity/response signals support recruiter reachability; concern: notice 90 days."
CAND_0037980,31,0.7511,"Senior Applied Scientist with 9.0 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include LoRA, PyTorch, NLP, BM25, QLoRA. Recent activity/response signals support recruiter reachability."
CAND_0045250,32,0.7484,"Applied ML Engineer with 6.6 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Sentence Transformers, Milvus, LoRA, Embeddings, NLP. Recent activity/response signals support recruiter reachability; concern: not marked open-to-work."
CAND_0016163,33,0.7462,"Applied ML Engineer with 6.7 yrs in ranking/recommendation systems, retrieval/vector search; skills include Hugging Face Transformers, Weaviate, TensorFlow, Embeddings, LoRA. Recent activity/response signals support recruiter reachability; concern: notice 120 days."
CAND_0042029,34,0.7451,"Senior Data Scientist with 6.5 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include PyTorch, NLP, RAG, Haystack, Elasticsearch. Recent activity/response signals support recruiter reachability; concern: not marked open-to-work."
CAND_0030953,35,0.7439,"Search Engineer with 7.8 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include MLOps, Learning to Rank, Qdrant, Python, Hugging Face Transformers. Recent activity/response signals support recruiter reachability; concern: not marked open-to-work."
CAND_0020877,36,0.7375,"Applied ML Engineer with 5.1 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include QLoRA, Kubeflow, Elasticsearch, PyTorch, OpenSearch. Recent activity/response signals support recruiter reachability; concern: not marked open-to-work."
CAND_0011432,37,0.7368,"Senior Data Scientist with 7.6 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Haystack, MLOps, OpenSearch, BentoML, pgvector. Recent activity/response signals support recruiter reachability."
CAND_0087630,38,0.7310,"AI Engineer with 7.2 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Elasticsearch, pgvector, NLP, Learning to Rank, QLoRA. Recent activity/response signals support recruiter reachability; concern: not marked open-to-work."
CAND_0075574,39,0.7214,"Machine Learning Engineer with 5.7 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Hugging Face Transformers, pgvector, Weaviate, Recommendation Systems, OpenSearch. Recent activity/response signals support recruiter reachability."
CAND_0066999,40,0.7171,"Recommendation Systems Engineer with 5.9 yrs in ranking/recommendation systems, retrieval/vector search; skills include OpenSearch, FAISS, LLMs, Pinecone, Machine Learning. Recent activity/response signals support recruiter reachability."
CAND_0080766,41,0.7132,"Staff Machine Learning Engineer with 8.8 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include LoRA, MLOps, MLflow, Elasticsearch, QLoRA. Recent activity/response signals support recruiter reachability; concern: not marked open-to-work."
CAND_0069905,42,0.7077,"Applied ML Engineer with 6.6 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include LoRA, Recommendation Systems, Sentence Transformers, TensorFlow, Hugging Face Transformers. Recent activity/response signals support recruiter reachability; concern: notice 90 days."
CAND_0050876,43,0.7007,"Applied ML Engineer with 6.0 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Qdrant, MLOps, FAISS, LlamaIndex, Machine Learning. Recent activity/response signals support recruiter reachability; concern: notice 90 days."
CAND_0070398,44,0.6975,"Machine Learning Engineer with 7.2 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include BM25, RAG, FAISS, Embeddings, PyTorch. Recent activity/response signals support recruiter reachability; concern: notice 120 days."
CAND_0006557,45,0.6974,"NLP Engineer with 7.9 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Kubeflow, Elasticsearch, OpenSearch, LlamaIndex, Vector Search. Recent activity/response signals support recruiter reachability; concern: notice 120 days."
CAND_0044222,46,0.6895,"AI Engineer with 7.7 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Vector Search, LlamaIndex, OpenSearch, Qdrant, Weaviate. Recent activity/response signals support recruiter reachability."
CAND_0076163,47,0.6877,"NLP Engineer with 6.9 yrs in ranking/recommendation systems, retrieval/vector search; skills include Weaviate, BM25, Semantic Search, LlamaIndex, PyTorch. Recent activity/response signals support recruiter reachability."
CAND_0008425,48,0.6833,"Senior NLP Engineer with 7.8 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Learning to Rank, Qdrant, pgvector, Sentence Transformers, NLP. Recent activity/response signals support recruiter reachability; concern: notice 90 days."
CAND_0081053,49,0.6827,"NLP Engineer with 5.4 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include LoRA, QLoRA, Qdrant, Machine Learning, Learning to Rank. Recent activity/response signals support recruiter reachability; concern: notice 90 days."
CAND_0011162,50,0.6806,"Recommendation Systems Engineer with 5.8 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include FAISS, Vector Search, LoRA, Milvus, OpenSearch. Recent activity/response signals support recruiter reachability; concern: notice 90 days."
CAND_0009024,51,0.6791,"Search Engineer with 5.2 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Qdrant, PEFT, FAISS, Machine Learning, PyTorch. Recent activity/response signals support recruiter reachability."
CAND_0061265,52,0.6786,"Recommendation Systems Engineer with 6.6 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Qdrant, Learning to Rank, Vector Search, Hugging Face Transformers, QLoRA. Recent activity/response signals support recruiter reachability; concern: notice 120 days."
CAND_0096172,53,0.6637,"NLP Engineer with 5.2 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include OpenSearch, Haystack, Elasticsearch, Semantic Search, Python. Recent activity/response signals support recruiter reachability; concern: not marked open-to-work."
CAND_0044855,54,0.6616,"Senior Data Scientist with 6.6 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Learning to Rank, Hugging Face Transformers, OpenSearch, BentoML, Information Retrieval. Recent activity/response signals support recruiter reachability; concern: not marked open-to-work."
CAND_0058575,55,0.6580,"AI Engineer with 5.8 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include MLOps, Machine Learning, LlamaIndex, Recommendation Systems, Pinecone. Recent activity/response signals support recruiter reachability; concern: notice 90 days."
CAND_0083879,56,0.6512,"Machine Learning Engineer with 7.1 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include MLOps, Fine-tuning LLMs, Milvus, Hugging Face Transformers, Machine Learning. Recent activity/response signals support recruiter reachability."
CAND_0076251,57,0.6503,"Search Engineer with 7.6 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Fine-tuning LLMs, Hugging Face Transformers, Weaviate, LlamaIndex, LLMs. Recent activity/response signals support recruiter reachability."
CAND_0088025,58,0.6491,"Staff Machine Learning Engineer with 8.6 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Pinecone, QLoRA, LLMs, Hugging Face Transformers, RAG. Recent activity/response signals support recruiter reachability; concern: notice 90 days."
CAND_0078002,59,0.6488,"Machine Learning Engineer with 6.3 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include pgvector, TensorFlow, NLP, BentoML, Hugging Face Transformers. Recent activity/response signals support recruiter reachability."
CAND_0083307,60,0.6487,"Search Engineer with 7.8 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Embeddings, QLoRA, PEFT, Pinecone, Weaviate. Recent activity/response signals support recruiter reachability; concern: notice 120 days."
CAND_0086151,61,0.6436,"Recommendation Systems Engineer with 7.7 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include BentoML, Recommendation Systems, Qdrant, OpenSearch, Embeddings. Recent activity/response signals support recruiter reachability; concern: notice 120 days."
CAND_0096142,62,0.6433,"Applied ML Engineer with 5.0 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Kubeflow, LoRA, Weaviate, Pinecone, Python. Recent activity/response signals support recruiter reachability; concern: notice 120 days."
CAND_0066376,63,0.6428,"Applied ML Engineer with 5.7 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Recommendation Systems, LoRA, Learning to Rank, LLMs, Fine-tuning LLMs. Recent activity/response signals support recruiter reachability; concern: notice 90 days."
CAND_0018549,64,0.6410,"Recommendation Systems Engineer with 6.8 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Weaviate, Elasticsearch, Qdrant, Milvus, Fine-tuning LLMs. Recent activity/response signals support recruiter reachability."
CAND_0075249,65,0.6322,"Applied ML Engineer with 6.2 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Sentence Transformers, Milvus, Machine Learning, Fine-tuning LLMs, MLflow. Recent activity/response signals support recruiter reachability."
CAND_0065878,66,0.6285,"Senior Data Scientist with 7.8 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include RAG, pgvector, QLoRA, LlamaIndex, MLflow. Recent activity/response signals support recruiter reachability."
CAND_0060054,67,0.6272,"AI Engineer with 6.4 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include TensorFlow, Weaviate, FAISS, Elasticsearch, Semantic Search. Recent activity/response signals support recruiter reachability; concern: not marked open-to-work."
CAND_0006567,68,0.6243,"Senior AI Engineer with 7.9 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include BM25, NLP, Python, Haystack, Recommendation Systems. Recent activity/response signals support recruiter reachability."
CAND_0009691,69,0.6240,"Applied ML Engineer with 6.2 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include BentoML, Recommendation Systems, Fine-tuning LLMs, LoRA, Pinecone. Recent activity/response signals support recruiter reachability; concern: notice 120 days."
CAND_0099806,70,0.6236,"AI Engineer with 4.6 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include LoRA, RAG, pgvector, FAISS, Embeddings. Recent activity/response signals support recruiter reachability."
CAND_0094056,71,0.6225,"NLP Engineer with 5.9 yrs in ranking/recommendation systems, retrieval/vector search; skills include MLflow, Pinecone, Milvus, Hugging Face Transformers, PEFT. Recent activity/response signals support recruiter reachability; concern: notice 120 days, not marked open-to-work."
CAND_0049896,72,0.6224,"Search Engineer with 7.3 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include LlamaIndex, Sentence Transformers, PyTorch, Kubeflow, Information Retrieval. Recent activity/response signals support recruiter reachability; concern: notice 90 days."
CAND_0099401,73,0.6215,"NLP Engineer with 7.7 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include BM25, Embeddings, Qdrant, Haystack, Information Retrieval. Recent activity/response signals support recruiter reachability; concern: notice 90 days, not marked open-to-work."
CAND_0051292,74,0.6193,"Applied ML Engineer with 5.2 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include pgvector, FAISS, BentoML, LLMs, Vector Search. Recent activity/response signals support recruiter reachability."
CAND_0015528,75,0.6188,"Applied ML Engineer with 7.4 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Weaviate, BentoML, pgvector, TensorFlow, Information Retrieval. Recent activity/response signals support recruiter reachability; concern: not marked open-to-work."
CAND_0010685,76,0.6047,"NLP Engineer with 6.7 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include LlamaIndex, PyTorch, Information Retrieval, Elasticsearch, MLflow. Recent activity/response signals support recruiter reachability."
CAND_0089552,77,0.6018,"Machine Learning Engineer with 6.0 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Weaviate, TensorFlow, Qdrant, Semantic Search, Vector Search. Recent activity/response signals support recruiter reachability; concern: notice 120 days, not marked open-to-work."
CAND_0049538,78,0.6003,"Applied ML Engineer with 5.8 yrs in ranking/recommendation systems, retrieval/vector search; skills include LlamaIndex, MLflow, Learning to Rank, OpenSearch, Vector Search. Recent activity/response signals support recruiter reachability; concern: not marked open-to-work."
CAND_0036184,79,0.5998,"Recommendation Systems Engineer with 6.0 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include QLoRA, FAISS, MLOps, Hugging Face Transformers, Semantic Search. Recent activity/response signals support recruiter reachability."
CAND_0057563,80,0.5995,"NLP Engineer with 6.8 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include RAG, Elasticsearch, OpenSearch, QLoRA, Hugging Face Transformers. Recent activity/response signals support recruiter reachability; concern: not marked open-to-work."
CAND_0047721,81,0.5972,"Senior Data Scientist with 7.0 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Learning to Rank, MLOps, Milvus, BM25, RAG. Recent activity/response signals support recruiter reachability; concern: notice 90 days, not marked open-to-work."
CAND_0040117,82,0.5840,"Recommendation Systems Engineer with 6.5 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include LlamaIndex, Embeddings, RAG, FAISS, BM25. Recent activity/response signals support recruiter reachability."
CAND_0026532,83,0.5833,"Recommendation Systems Engineer with 4.8 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include pgvector, LoRA, PEFT, Embeddings, Semantic Search. Recent activity/response signals support recruiter reachability; concern: notice 90 days."
CAND_0052328,84,0.5814,"Recommendation Systems Engineer with 6.5 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include LoRA, OpenSearch, QLoRA, Recommendation Systems, Learning to Rank. Recent activity/response signals support recruiter reachability."
CAND_0031593,85,0.5795,"Search Engineer with 7.8 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Haystack, Hugging Face Transformers, BentoML, Recommendation Systems, BM25. Recent activity/response signals support recruiter reachability; concern: notice 90 days."
CAND_0012957,86,0.5784,"Search Engineer with 4.9 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include RAG, PEFT, BentoML, BM25, Machine Learning. Recent activity/response signals support recruiter reachability; concern: notice 120 days, not marked open-to-work."
CAND_0076831,87,0.5766,"Search Engineer with 4.0 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include LLMs, MLOps, Milvus, BM25, Weaviate. Recent activity/response signals support recruiter reachability; concern: notice 90 days."
CAND_0054123,88,0.5763,"Applied ML Engineer with 4.7 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include pgvector, Python, Weaviate, Qdrant, Vector Search. Recent activity/response signals support recruiter reachability; concern: not marked open-to-work."
CAND_0065195,89,0.5751,"Search Engineer with 5.1 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include LLMs, BentoML, QLoRA, Elasticsearch, Hugging Face Transformers. Recent activity/response signals support recruiter reachability."
CAND_0037566,90,0.5736,"Machine Learning Engineer with 6.9 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Pinecone, LlamaIndex, NLP, LoRA, QLoRA. Recent activity/response signals support recruiter reachability."
CAND_0064270,91,0.5722,"Applied ML Engineer with 4.2 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include LlamaIndex, BentoML, PyTorch, Learning to Rank, Sentence Transformers. Recent activity/response signals support recruiter reachability; concern: not marked open-to-work."
CAND_0042506,92,0.5708,"Search Engineer with 4.2 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include PEFT, Semantic Search, BentoML, Fine-tuning LLMs, TensorFlow. Recent activity/response signals support recruiter reachability."
CAND_0030348,93,0.5609,"Machine Learning Engineer with 4.5 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include LlamaIndex, MLOps, PyTorch, Embeddings, Vector Search. Recent activity/response signals support recruiter reachability."
CAND_0078492,94,0.5589,"Recommendation Systems Engineer with 5.1 yrs in ranking/recommendation systems, retrieval/vector search; skills include Machine Learning, Haystack, FAISS, Kubeflow, Recommendation Systems. Recent activity/response signals support recruiter reachability."
CAND_0077285,95,0.5572,"Recommendation Systems Engineer with 5.5 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include LoRA, Pinecone, Sentence Transformers, Embeddings, Information Retrieval. Recent activity/response signals support recruiter reachability."
CAND_0030468,96,0.5550,"Senior Applied Scientist with 5.4 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include TensorFlow, Machine Learning, OpenSearch, Milvus, Recommendation Systems. Recent activity/response signals support recruiter reachability."
CAND_0064904,97,0.5527,"AI Engineer with 4.9 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Embeddings, Hugging Face Transformers, Elasticsearch, LLMs, Python. Recent activity/response signals support recruiter reachability; concern: notice 90 days."
CAND_0030031,98,0.5486,"AI Engineer with 5.7 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Information Retrieval, PyTorch, Python, NLP, RAG. Recent activity/response signals support recruiter reachability; concern: not marked open-to-work."
CAND_0074225,99,0.5481,"Machine Learning Engineer with 4.3 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include Recommendation Systems, Semantic Search, Elasticsearch, Milvus, Python. Recent activity/response signals support recruiter reachability; concern: notice 120 days."
CAND_0000031,100,0.5451,"Recommendation Systems Engineer with 6.0 yrs in ranking/recommendation systems, retrieval/vector search, ranking evaluation; skills include MLflow, FAISS, Pinecone, Machine Learning, BentoML. Recent activity/response signals support recruiter reachability."
